uniprotid,genename,uniprotname,proteinname,disorders,references
Q16610,ECM1,ECM1_HUMAN,Extracellular matrix protein 1,['-'],['28007376']
P61328,FGF12,FGF12_HUMAN,Fibroblast growth factor 12,['-'],['28007376']
P23490,LOR,LORI_HUMAN,Loricrin,['-'],['28007376']
O75061,DNAJC6,AUXI_HUMAN,Putative tyrosine-protein phosphatase auxilin,['-'],['28007376']
Q9UPA5,BSN,BSN_HUMAN,Protein bassoon,['-'],['28007376']
P32929,CTH,CGL_HUMAN,Cystathionine gamma-lyase,['-'],['28007376']
Q5IJ48,CRB2,CRUM2_HUMAN,Protein crumbs homolog 2,['-'],['28007376']
P05231,IL6,IL6_HUMAN,Interleukin-6,['FCD'],"['26306771', '28007376']"
Q6ZUJ8,PIK3AP1,BCAP_HUMAN,Phosphoinositide 3-kinase adapter protein 1,['-'],['28007376']
Q12873,CHD3,CHD3_HUMAN,Chromodomain-helicase-DNA-binding protein 3,['-'],['28007376']
Q5JVL4,EFHC1,EFHC1_HUMAN,EF-hand domain-containing protein 1,['JME'],"[""23756480', '29924869"", '28007376']"
O95822,MLYCD,DCMC_HUMAN,"Malonyl-CoA decarboxylase, mitochondrial",['-'],['28007376']
Q8IZT6,ASPM,ASPM_HUMAN,Abnormal spindle-like microcephaly-associated protein,['-'],['28007376']
Q6PJG6,BRAT1,BRAT1_HUMAN,BRCA1-associated ATM activator 1,['-'],['28007376']
P05089,ARG1,ARGI1_HUMAN,Arginase-1,['-'],['28007376']
Q9Y259,CHKB,CHKB_HUMAN,Choline/ethanolamine kinase,['-'],['28007376']
O75899,GABBR2,GABR2_HUMAN,Gamma-aminobutyric acid type B receptor subunit 2,['MTLE'],"['17515952', '28007376']"
Q96HY7,DHTKD1,DHTK1_HUMAN,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",['-'],['28007376']
Q9H257,CARD9,CARD9_HUMAN,Caspase recruitment domain-containing protein 9,['-'],['28007376']
Q9UKM7,MAN1B1,MA1B1_HUMAN,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",['-'],['28007376']
Q16082,HSPB2,HSPB2_HUMAN,Heat shock protein beta-2,['-'],['28007376']
Q15049,MLC1,MLC1_HUMAN,Membrane protein MLC1,['-'],['28007376']
Q9BXI2,SLC25A2,ORNT2_HUMAN,Mitochondrial ornithine transporter 2,['-'],['28007376']
O60828,PQBP1,PQBP1_HUMAN,Polyglutamine-binding protein 1,['-'],['28007376']
Q96MT3,PRICKLE1,PRIC1_HUMAN,Prickle-like protein 1,['JME'],"['29924869', '28007376']"
P23352,ANOS1,KALM_HUMAN,Anosmin-1,['-'],['28007376']
P78508,KCNJ10,KCJ10_HUMAN,ATP-sensitive inward rectifier potassium channel 10,['-'],['28007376']
P48735,IDH2,IDHP_HUMAN,"Isocitrate dehydrogenase [NADP], mitochondrial",['-'],['28007376']
Q9BY32,ITPA,ITPA_HUMAN,Inosine triphosphate pyrophosphatase,['-'],['28007376']
Q12809,KCNH2,KCNH2_HUMAN,Potassium voltage-gated channel subfamily H member 2,['-'],['28007376']
P55316,FOXG1,FOXG1_HUMAN,Forkhead box protein G1,['-'],['28007376']
O14908,GIPC1,GIPC1_HUMAN,PDZ domain-containing protein GIPC1,['-'],['28007376']
Q92908,GATA6,GATA6_HUMAN,Transcription factor GATA-6,['-'],['28007376']
Q92556,ELMO1,ELMO1_HUMAN,Engulfment and cell motility protein 1,['-'],['28007376']
Q99707,MTR,METH_HUMAN,Methionine synthase,['-'],['28007376']
O60762,DPM1,DPM1_HUMAN,Dolichol-phosphate mannosyltransferase subunit 1,['-'],['28007376']
Q14721,KCNB1,KCNB1_HUMAN,Potassium voltage-gated channel subfamily B member 1,['-'],['28007376']
Q6UWB1,IL27RA,I27RA_HUMAN,Interleukin-27 receptor subunit alpha,['-'],['28007376']
P48547,KCNC1,KCNC1_HUMAN,Potassium voltage-gated channel subfamily C member 1,['-'],['28007376']
P13807,GYS1,GYS1_HUMAN,"Glycogen [starch] synthase, muscle",['-'],['28007376']
O14713,ITGB1BP1,ITBP1_HUMAN,Integrin beta-1-binding protein 1,['-'],['28007376']
Q6NVY1,HIBCH,HIBCH_HUMAN,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",['-'],['28007376']
Q9H2S1,KCNN2,KCNN2_HUMAN,Small conductance calcium-activated potassium channel protein 2,['-'],['28007376']
Q99608,NDN,NECD_HUMAN,Necdin,['-'],['28007376']
Q8N442,GUF1,GUF1_HUMAN,"Translation factor GUF1, mitochondrial",['-'],['28007376']
P05198,EIF2S1,IF2A_HUMAN,Eukaryotic translation initiation factor 2 subunit 1,['-'],['28007376']
Q04743,EMX2,EMX2_HUMAN,Homeobox protein EMX2,['-'],['28007376']
Q9UJ55,MAGEL2,MAGL2_HUMAN,MAGE-like protein 2,['-'],['28007376']
P62258,YWHAE,1433E_HUMAN,14-3-3 protein epsilon,['-'],['28255556']
P41180,CASR,CASR_HUMAN,Extracellular calcium-sensing receptor,['JME'],"[""23756480', '29924869"", '28007376']"
P30038,ALDH4A1,AL4A1_HUMAN,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",['-'],['28007376']
Q9UHC6,CNTNAP2,CNTP2_HUMAN,Contactin-associated protein-like 2,['FCD'],"['31857538', '28007376']"
O75564,JRK,JERKY_HUMAN,Jerky protein homolog,"['CAE', 'JME']","['11988776', '29924869', '28007376']"
P0DP23,CALM1,CALM1_HUMAN,Calmodulin-1,['-'],['28255556']
Q9UJA3,MCM8,MCM8_HUMAN,DNA helicase MCM8,['-'],['28007376']
O95999,BCL10,BCL10_HUMAN,B-cell lymphoma/leukemia 10,['-'],['28007376']
Q96HP0,DOCK6,DOCK6_HUMAN,Dedicator of cytokinesis protein 6,['-'],['28007376']
Q86UL8,MAGI2,MAGI2_HUMAN,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",['-'],['28007376']
Q15555,MAPRE2,MARE2_HUMAN,Microtubule-associated protein RP/EB family member 2,['-'],['28007376']
Q92685,ALG3,ALG3_HUMAN,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase",['-'],['28007376']
P45954,ACADSB,ACDSB_HUMAN,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",['-'],['28007376']
P49327,FASN,FAS_HUMAN,Fatty acid synthase,['-'],['28007376']
Q5T442,GJC2,CXG2_HUMAN,Gap junction gamma-2 protein,['-'],['28007376']
P23415,GLRA1,GLRA1_HUMAN,Glycine receptor subunit alpha-1,['-'],['28007376']
P53355,DAPK1,DAPK1_HUMAN,Death-associated protein kinase 1,['-'],['28007376']
P80404,ABAT,GABT_HUMAN,"4-aminobutyrate aminotransferase, mitochondrial",['-'],['28007376']
Q12904,AIMP1,AIMP1_HUMAN,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,['-'],['28007376']
Q01668,CACNA1D,CAC1D_HUMAN,Voltage-dependent L-type calcium channel subunit alpha-1D,['-'],['28007376']
Q96IL0,APOPT1,APOP1_HUMAN,"Apoptogenic protein 1, mitochondrial",['-'],['28007376']
P16219,ACADS,ACADS_HUMAN,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",['-'],['28007376']
P02462,COL4A1,CO4A1_HUMAN,Collagen alpha-1(IV) chain,['-'],['28007376']
Q9HCK8,CHD8,CHD8_HUMAN,Chromodomain-helicase-DNA-binding protein 8,['-'],['28007376']
Q96N67,DOCK7,DOCK7_HUMAN,Dedicator of cytokinesis protein 7,"['CAE', 'JAE']","['29924869', '29924869', '28007376']"
Q96EB1,ELP4,ELP4_HUMAN,Elongator complex protein 4,['-'],['28007376']
P04080,CSTB,CYTB_HUMAN,Cystatin-B,['-'],['28007376']
O00429,DNM1L,DNM1L_HUMAN,Dynamin-1-like protein,['-'],['28007376']
P10070,GLI2,GLI2_HUMAN,Zinc finger protein GLI2,['-'],['28007376']
O00555,CACNA1A,CAC1A_HUMAN,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,"['CAE', 'JAE', 'JME']","['11988776', '29924869', '29924869', '28007376']"
O94777,DPM2,DPM2_HUMAN,Dolichol phosphate-mannose biosynthesis regulatory protein,['-'],['28007376']
P00367,GLUD1,DHE3_HUMAN,"Glutamate dehydrogenase 1, mitochondrial",['-'],['28007376']
O14764,GABRD,GBRD_HUMAN,Gamma-aminobutyric acid receptor subunit delta,"['JME', 'EGTCS']","['23756480', '29924869', '29924869', '28007376']"
P54259,ATN1,ATN1_HUMAN,Atrophin-1,['-'],['28007376']
Q5EE01,CENPW,CENPW_HUMAN,Centromere protein W,['-'],['28007376']
Q9BZC1,CELF4,CELF4_HUMAN,CUGBP Elav-like family member 4,['-'],['28007376']
Q9NTI2,ATP8A2,AT8A2_HUMAN,Phospholipid-transporting ATPase IB,['-'],['28007376']
O43766,LIAS,LIAS_HUMAN,"Lipoyl synthase, mitochondrial","['CAE', 'JAE', 'JME']","['29924869', '29924869', '29924869', '28007376']"
P55263,ADK,ADK_HUMAN,Adenosine kinase,['-'],['28007376']
P09622,DLD,DLDH_HUMAN,"Dihydrolipoyl dehydrogenase, mitochondrial",['-'],['28007376']
Q9Y276,BCS1L,BCS1_HUMAN,Mitochondrial chaperone BCS1,['-'],['28007376']
O43497,CACNA1G,CAC1G_HUMAN,Voltage-dependent T-type calcium channel subunit alpha-1G,"['CAE', 'JME']","['28165634', '29924869', '28007376']"
Q86YH6,PDSS2,DLP1_HUMAN,Decaprenyl-diphosphate synthase subunit 2,['-'],['28007376']
P22466,GAL,GALA_HUMAN,Galanin peptides,['MTLE'],"['28007376', '28007376']"
O94905,ERLIN2,ERLN2_HUMAN,Erlin-2,['-'],['28007376']
Q8N475,FSTL5,FSTL5_HUMAN,Follistatin-related protein 5,['-'],['28007376']
Q9UHN1,POLG2,DPOG2_HUMAN,"DNA polymerase subunit gamma-2, mitochondrial",['-'],['28007376']
P47870,GABRB2,GBRB2_HUMAN,Gamma-aminobutyric acid receptor subunit beta-2,['-'],['28007376']
O43602,DCX,DCX_HUMAN,Neuronal migration protein doublecortin,['-'],['28007376']
P14867,GABRA1,GBRA1_HUMAN,Gamma-aminobutyric acid receptor subunit alpha-1,"['Dravet Syndrome', 'JME']","['28544625', '23756480', '28007376']"
P49641,MAN2A2,MA2A2_HUMAN,Alpha-mannosidase 2x,['-'],['28007376']
P53779,MAPK10,MK10_HUMAN,Mitogen-activated protein kinase 10,['-'],['28007376']
P15529,CD46,MCP_HUMAN,Membrane cofactor protein,['-'],['28007376']
P98164,LRP2,LRP2_HUMAN,Low-density lipoprotein receptor-related protein 2,['-'],['28007376']
Q96H96,COQ2,COQ2_HUMAN,"4-hydroxybenzoate polyprenyltransferase, mitochondrial",['-'],['28007376']
Q9UBY8,CLN8,CLN8_HUMAN,Protein CLN8,['-'],['28007376']
P18505,GABRB1,GBRB1_HUMAN,Gamma-aminobutyric acid receptor subunit beta-1,['MTLE'],"['28276448', '28007376']"
Q9NXB0,MKS1,MKS1_HUMAN,Meckel syndrome type 1 protein,['-'],['28007376']
Q71F56,MED13L,MD13L_HUMAN,Mediator of RNA polymerase II transcription subunit 13-like,['-'],['28007376']
Q96G97,BSCL2,BSCL2_HUMAN,Seipin,['-'],['28007376']
Q06413,MEF2C,MEF2C_HUMAN,Myocyte-specific enhancer factor 2C,['-'],['28007376']
P31943,HNRNPH1,HNRH1_HUMAN,Heterogeneous nuclear ribonucleoprotein H,['-'],['28007376']
P53539,FOSB,FOSB_HUMAN,Protein fosB,['-'],['28007376']
Q13158,FADD,FADD_HUMAN,FAS-associated death domain protein,['-'],['28007376']
Q96NI6,LRFN5,LRFN5_HUMAN,Leucine-rich repeat and fibronectin type-III domain-containing protein 5,['-'],['28007376']
P54868,HMGCS2,HMCS2_HUMAN,"Hydroxymethylglutaryl-CoA synthase, mitochondrial",['-'],['28007376']
Q14003,KCNC3,KCNC3_HUMAN,Potassium voltage-gated channel subfamily C member 3,['-'],['28007376']
Q969P0,IGSF8,IGSF8_HUMAN,Immunoglobulin superfamily member 8,['-'],['28007376']
Q8N0V4,LGI2,LGI2_HUMAN,Leucine-rich repeat LGI family member 2,['-'],['28007376']
Q09470,KCNA1,KCNA1_HUMAN,Potassium voltage-gated channel subfamily A member 1,['-'],['28007376']
Q15125,EBP,EBP_HUMAN,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",['-'],['28007376']
P14136,GFAP,GFAP_HUMAN,Glial fibrillary acidic protein,['-'],['28007376']
O43462,MBTPS2,MBTP2_HUMAN,Membrane-bound transcription factor site-2 protease,['-'],['28007376']
P07339,CTSD,CATD_HUMAN,Cathepsin D,['-'],['28007376']
Q13286,CLN3,CLN3_HUMAN,Battenin,['-'],['28007376']
P15882,CHN1,CHIN_HUMAN,N-chimaerin,['-'],['28007376']
Q71SY5,MED25,MED25_HUMAN,Mediator of RNA polymerase II transcription subunit 25,['-'],['28007376']
Q9UGI6,KCNN3,KCNN3_HUMAN,Small conductance calcium-activated potassium channel protein 3,['-'],['28007376']
P18507,GABRG2,GBRG2_HUMAN,Gamma-aminobutyric acid receptor subunit gamma-2,"['MTLE', 'Dravet Syndrome', 'CAE']","['17515952', '28544625', '11988776', '28007376']"
P54803,GALC,GALC_HUMAN,Galactocerebrosidase,['MTLE'],"['17515952', '28007376']"
P42858,HTT,HD_HUMAN,Huntingtin,['-'],['28007376']
Q93063,EXT2,EXT2_HUMAN,Exostosin-2,['-'],['28007376']
P52565,ARHGDIA,GDIR1_HUMAN,Rho GDP-dissociation inhibitor 1,['-'],['28007376']
Q9P267,MBD5,MBD5_HUMAN,Methyl-CpG-binding domain protein 5,['-'],['28007376']
O00165,HAX1,HAX1_HUMAN,HCLS1-associated protein X-1,['-'],['28007376']
P22607,FGFR3,FGFR3_HUMAN,Fibroblast growth factor receptor 3,['-'],['28007376']
P56524,HDAC4,HDAC4_HUMAN,Histone deacetylase 4,['-'],['28007376']
O60741,HCN1,HCN1_HUMAN,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,['-'],['28007376']
P10809,HSPD1,CH60_HUMAN,"60 kDa heat shock protein, mitochondrial",['-'],['28007376']
Q9C0B1,FTO,FTO_HUMAN,Alpha-ketoglutarate-dependent dioxygenase FTO,['-'],['28007376']
P34998,CRHR1,CRFR1_HUMAN,Corticotropin-releasing factor receptor 1,['-'],['28007376']
P32189,GK,GLPK_HUMAN,Glycerol kinase,['-'],['28007376']
O95460,MATN4,MATN4_HUMAN,Matrilin-4,['-'],['28007376']
P13500,CCL2,CCL2_HUMAN,C-C motif chemokine 2,"['MTLE', 'MTLE-HS']","['17515952', '30932156', '28007376']"
P01903,HLA-DRA,DRA_HUMAN,"HLA class II histocompatibility antigen, DR alpha chain","['MTLE', 'MTLE-HS']","['17515952', '30932156', '28007376']"
P20036,HLA-DPA1,DPA1_HUMAN,"HLA class II histocompatibility antigen, DP alpha 1 chain","['MTLE', 'MTLE-HS']","['17515952', '30932156', '28007376']"
P39086,GRIK1,GRIK1_HUMAN,"Glutamate receptor ionotropic, kainate 1","['CAE', 'JAE']","['29924869', '9259378', '11988776', '29924869', '28007376']"
Q5M775,SPECC1,CYTSB_HUMAN,Cytospin-B,"['JAE', 'JME']","['29924869', '29924869', '28007376']"
Q14833,GRM4,GRM4_HUMAN,Metabotropic glutamate receptor 4,"['JME', 'EGTCS']","['29924869', '29924869', '28007376']"
Q14CN2,CLCA4,CLCA4_HUMAN,Calcium-activated chloride channel regulator 4,['MTLE'],"['28276448', '28007376']"
Q8TE58,ADAMTS15,ATS15_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 15,['MTLE'],"['23483634', '28007376']"
Q2M3G0,ABCB5,ABCB5_HUMAN,ATP-binding cassette sub-family B member 5,['MTLE'],"['23483634', '28007376']"
Q7Z6R9,TFAP2D,AP2D_HUMAN,Transcription factor AP-2-delta,['MTLE'],"['23483634', '28007376']"
P98173,FAM3A,FAM3A_HUMAN,Protein FAM3A,['MTLE'],"['23483634', '28007376']"
Q8N6F1,CLDN19,CLD19_HUMAN,Claudin-19,['MTLE'],"['23483634', '28007376']"
P61204,ARF3,ARF3_HUMAN,ADP-ribosylation factor 3,['MTLE'],"['17515952', '28007376']"
Q16880,UGT8,CGT_HUMAN,2-hydroxyacylsphingosine 1-beta-galactosyltransferase,['MTLE'],"['17515952', '28007376']"
Q8WU49,C7orf33,CG033_HUMAN,Uncharacterized protein C7orf33,['MTLE'],"['23483634', '28007376']"
Q9H9D4,ZNF408,ZN408_HUMAN,Zinc finger protein 408,['MTLE'],"['23483634', '28007376']"
Q96N22,ZNF681,ZN681_HUMAN,Zinc finger protein 681,['MTLE'],"['23483634', '28007376']"
Q8NA56,TTC29,TTC29_HUMAN,Tetratricopeptide repeat protein 29,['MTLE'],"['23483634', '28007376']"
Q6ZRF8,RNF207,RN207_HUMAN,RING finger protein 207,['MTLE'],"['23483634', '28007376']"
P37802,TAGLN2,TAGL2_HUMAN,Transgelin-2,['MTLE'],"['23483634', '28007376']"
Q02086,SP2,SP2_HUMAN,Transcription factor Sp2,['MTLE'],"['23483634', '28007376']"
P05771,PRKCB,KPCB_HUMAN,Protein kinase C beta type,['MTLE'],"['17515952', '28007376']"
Q96EV2,RBM33,RBM33_HUMAN,RNA-binding protein 33,['MTLE'],"['23483634', '28007376']"
Q6PIS1,SLC23A3,S23A3_HUMAN,Solute carrier family 23 member 3,['MTLE'],"['23483634', '28007376']"
Q8N8Y5,ZFP41,ZFP41_HUMAN,Zinc finger protein 41 homolog,['MTLE'],"['23483634', '28007376']"
Q86UX7,FERMT3,URP2_HUMAN,Fermitin family homolog 3,['MTLE'],"['23483634', '28007376']"
P0CG48,UBC,UBC_HUMAN,Polyubiquitin-C,['MTLE'],"['23483634', '28007376']"
P30939,HTR1F,5HT1F_HUMAN,5-hydroxytryptamine receptor 1F,['MTLE'],"['23483634', '28007376']"
P17655,CAPN2,CAN2_HUMAN,Calpain-2 catalytic subunit,['MTLE'],"['17515952', '28007376']"
A6NHC0,CAPN8,CAN8_HUMAN,Calpain-8,['MTLE'],"['23483634', '28007376']"
Q6NT55,CYP4F22,CP4FN_HUMAN,Cytochrome P450 4F22,['MTLE'],"['23483634', '28007376']"
O00238,BMPR1B,BMR1B_HUMAN,Bone morphogenetic protein receptor type-1B,['MTLE'],"['23483634', '28007376']"
P0DML2,CSH1,CSH1_HUMAN,Chorionic somatomammotropin hormone 1,['MTLE'],"['23483634', '28007376']"
P02489,CRYAA,CRYAA_HUMAN,Alpha-crystallin A chain,['MTLE'],"['23483634', '28007376']"
O75508,CLDN11,CLD11_HUMAN,Claudin-11,['MTLE'],"['23483634', '28007376']"
A2IDD5,CCDC78,CCD78_HUMAN,Coiled-coil domain-containing protein 78,['MTLE'],"['23483634', '28007376']"
Q9HBB8,CDHR5,CDHR5_HUMAN,Cadherin-related family member 5,['MTLE'],"['23483634', '28007376']"
Q9UNW8,GPR132,GP132_HUMAN,Probable G-protein coupled receptor 132,['MTLE'],"['23483634', '28007376']"
Q6PI97,C11orf88,CK088_HUMAN,UPF0722 protein C11orf88,['MTLE'],"['23483634', '28007376']"
P49418,AMPH,AMPH_HUMAN,Amphiphysin,['MTLE'],"['23483634', '28007376']"
Q07687,DLX2,DLX2_HUMAN,Homeobox protein DLX-2,['MTLE'],"['23483634', '28007376']"
P20851,C4BPB,C4BPB_HUMAN,C4b-binding protein beta chain,['MTLE'],"['23483634', '28007376']"
P0DP25,CALM3,CALM3_HUMAN,Calmodulin-3,['MTLE'],"['17515952', '28007376']"
O00541,PES1,PESC_HUMAN,Pescadillo homolog,['MTLE'],"['23483634', '28007376']"
Q6KCM7,SLC25A25,SCMC2_HUMAN,Calcium-binding mitochondrial carrier protein SCaMC-2,['MTLE'],"['23483634', '28007376']"
O43439,CBFA2T2,MTG8R_HUMAN,Protein CBFA2T2,['MTLE'],"['23483634', '28007376']"
P31350,RRM2,RIR2_HUMAN,Ribonucleoside-diphosphate reductase subunit M2,['MTLE'],"['23483634', '28007376']"
O75575,CRCP,RPC9_HUMAN,DNA-directed RNA polymerase III subunit RPC9,['MTLE'],"['23483634', '28007376']"
P37088,SCNN1A,SCNNA_HUMAN,Amiloride-sensitive sodium channel subunit alpha,['MTLE'],"['23483634', '28007376']"
Q969V4,TEKT1,TEKT1_HUMAN,Tektin-1,['MTLE'],"['23483634', '28007376']"
Q8NE65,ZNF738,ZN738_HUMAN,Protein ZNF738,['MTLE'],"['23483634', '28007376']"
P26368,U2AF2,U2AF2_HUMAN,Splicing factor U2AF 65 kDa subunit,['MTLE'],"['23483634', '28007376']"
P36952,SERPINB5,SPB5_HUMAN,Serpin B5,['MTLE'],"['23483634', '28007376']"
P09430,TNP1,STP1_HUMAN,Spermatid nuclear transition protein 1,['MTLE'],"['23483634', '28007376']"
Q3LI67,KRTAP6-3,KRA63_HUMAN,Keratin-associated protein 6-3,['MTLE'],"['23483634', '28007376']"
P02776,PF4,PLF4_HUMAN,Platelet factor 4,['MTLE'],"['23483634', '28007376']"
P01589,IL2RA,IL2RA_HUMAN,Interleukin-2 receptor subunit alpha,['MTLE'],"['23483634', '28007376']"
Q06710,PAX8,PAX8_HUMAN,Paired box protein Pax-8,['MTLE'],"['23483634', '28007376']"
A6NEQ0,RBMY1E,RBY1E_HUMAN,"RNA-binding motif protein, Y chromosome, family 1 member E",['MTLE'],"['23483634', '28007376']"
P41220,RGS2,RGS2_HUMAN,Regulator of G-protein signaling 2,['MTLE'],"['17515952', '28007376']"
Q7Z442,PKD1L2,PK1L2_HUMAN,Polycystic kidney disease protein 1-like 2,['MTLE'],"['23483634', '28007376']"
P25963,NFKBIA,IKBA_HUMAN,NF-kappa-B inhibitor alpha,['MTLE'],"['17515952', '28007376']"
P78385,KRT83,KRT83_HUMAN,"Keratin, type II cuticular Hb3",['MTLE'],"['23483634', '28007376']"
Q8NHZ7,MBD3L2,MB3L2_HUMAN,Methyl-CpG-binding domain protein 3-like 2,['MTLE'],"['23483634', '28007376']"
Q96M69,LRGUK,LRGUK_HUMAN,Leucine-rich repeat and guanylate kinase domain-containing protein,['MTLE'],"['23483634', '28007376']"
Q9HAZ2,PRDM16,PRD16_HUMAN,Histone-lysine N-methyltransferase PRDM16,['MTLE'],"['23483634', '28007376']"
Q86SS6,SYT9,SYT9_HUMAN,Synaptotagmin-9,['MTLE'],"['23483634', '28007376']"
Q08752,PPID,PPID_HUMAN,Peptidyl-prolyl cis-trans isomerase D,['MTLE'],"['23483634', '28007376']"
Q99593,TBX5,TBX5_HUMAN,T-box transcription factor TBX5,['MTLE'],"['23483634', '28007376']"
Q6XPS3,TPTE2,TPTE2_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2",['MTLE'],"['23483634', '28007376']"
P13747,HLA-E,HLAE_HUMAN,"HLA class I histocompatibility antigen, alpha chain E",['MTLE'],"['17515952', '28007376']"
O75914,PAK3,PAK3_HUMAN,Serine/threonine-protein kinase PAK 3,['MTLE'],"['17515952', '28007376']"
Q00887,PSG9,PSG9_HUMAN,Pregnancy-specific beta-1-glycoprotein 9,['MTLE'],"['23483634', '28007376']"
P41222,PTGDS,PTGDS_HUMAN,Prostaglandin-H2 D-isomerase,['MTLE'],"['17515952', '28007376']"
Q9NY43,BARHL2,BARH2_HUMAN,BarH-like 2 homeobox protein,['MTLE'],"['23483634', '28007376']"
Q7RTV3,ZNF367,ZN367_HUMAN,Zinc finger protein 367,['MTLE'],"['23483634', '28007376']"
O15393,TMPRSS2,TMPS2_HUMAN,Transmembrane protease serine 2,['MTLE'],"['23483634', '28007376']"
Q9NZL3,ZNF224,ZN224_HUMAN,Zinc finger protein 224,['MTLE'],"['23483634', '28007376']"
P30041,PRDX6,PRDX6_HUMAN,Peroxiredoxin-6,['MTLE'],"['17515952', '28007376']"
Q8TAV4,STOML3,STML3_HUMAN,Stomatin-like protein 3,['MTLE'],"['23483634', '28007376']"
P00568,AK1,KAD1_HUMAN,Adenylate kinase isoenzyme 1,['MTLE'],"['17515952', '28007376']"
Q9NY59,SMPD3,NSMA2_HUMAN,Sphingomyelin phosphodiesterase 3,['MTLE'],"['17515952', '28007376']"
O60658,PDE8A,PDE8A_HUMAN,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",['MTLE'],"['17515952', '28007376']"
Q9NXI6,RNF186,RN186_HUMAN,E3 ubiquitin-protein ligase RNF186,['MTLE'],"['23483634', '28007376']"
Q13017,ARHGAP5,RHG05_HUMAN,Rho GTPase-activating protein 5,['MTLE'],"['17515952', '28007376']"
O95359,TACC2,TACC2_HUMAN,Transforming acidic coiled-coil-containing protein 2,['MTLE'],"['23483634', '28007376']"
Q8NET8,TRPV3,TRPV3_HUMAN,Transient receptor potential cation channel subfamily V member 3,['MTLE'],"['23483634', '28007376']"
Q6Q759,SPAG17,SPG17_HUMAN,Sperm-associated antigen 17,['MTLE'],"['23483634', '28007376']"
Q15562,TEAD2,TEAD2_HUMAN,Transcriptional enhancer factor TEF-4,['MTLE'],"['23483634', '28007376']"
Q9UGF6,OR5V1,OR5V1_HUMAN,Olfactory receptor 5V1,['MTLE'],"['23483634', '28007376']"
P49798,RGS4,RGS4_HUMAN,Regulator of G-protein signaling 4,['MTLE'],"['17515952', '28007376']"
P21549,AGXT,SPYA_HUMAN,Serine--pyruvate aminotransferase,['MTLE'],"['23483634', '28007376']"
P49802,RGS7,RGS7_HUMAN,Regulator of G-protein signaling 7,['MTLE'],"['17515952', '28007376']"
O75602,SPAG6,SPAG6_HUMAN,Sperm-associated antigen 6,['MTLE'],"['23483634', '28007376']"
P45985,MAP2K4,MP2K4_HUMAN,Dual specificity mitogen-activated protein kinase kinase 4,['MTLE'],"['17515952', '28007376']"
P09017,HOXC4,HXC4_HUMAN,Homeobox protein Hox-C4,['MTLE'],"['23483634', '28007376']"
O43278,SPINT1,SPIT1_HUMAN,Kunitz-type protease inhibitor 1,['MTLE'],"['23483634', '28007376']"
P15918,RAG1,RAG1_HUMAN,V(D)J recombination-activating protein 1,['MTLE'],"['23483634', '28007376']"
Q7Z4W2,LYZL2,LYZL2_HUMAN,Lysozyme-like protein 2,['MTLE'],"['23483634', '28007376']"
P17081,RHOQ,RHOQ_HUMAN,Rho-related GTP-binding protein RhoQ,['MTLE'],"['17515952', '28007376']"
O95670,ATP6V1G2,VATG2_HUMAN,V-type proton ATPase subunit G 2,['MTLE'],"['17515952', '28007376']"
Q9BZD6,PRRG4,TMG4_HUMAN,Transmembrane gamma-carboxyglutamic acid protein 4,['MTLE'],"['23483634', '28007376']"
Q96PI1,SPRR4,SPRR4_HUMAN,Small proline-rich protein 4,['MTLE'],"['23483634', '28007376']"
P56279,TCL1A,TCL1A_HUMAN,T-cell leukemia/lymphoma protein 1A,['MTLE'],"['23483634', '28007376']"
Q9UDY2,TJP2,ZO2_HUMAN,Tight junction protein ZO-2,['MTLE'],"['17515952', '28007376']"
O15417,TNRC18,TNC18_HUMAN,Trinucleotide repeat-containing gene 18 protein,['MTLE'],"['23483634', '28007376']"
Q58EX2,SDK2,SDK2_HUMAN,Protein sidekick-2,['MTLE'],"['23483634', '28007376']"
Q9BZD2,SLC29A3,S29A3_HUMAN,Equilibrative nucleoside transporter 3,['MTLE'],"['23483634', '28007376']"
P19971,TYMP,TYPH_HUMAN,Thymidine phosphorylase,['MTLE'],"['23483634', '28007376']"
O15482,TEX28,TEX28_HUMAN,Testis-specific protein TEX28,['MTLE'],"['23483634', '28007376']"
Q5GH73,XKR6,XKR6_HUMAN,XK-related protein 6,['MTLE'],"['23483634', '28007376']"
