Uniprot ID,Gene Name,Uniprot Name,Protein Name
Q9H2X0,CHRD,CHRD_HUMAN,Chordin
Q86W34,AMZ2,AMZ2_HUMAN,Archaemetzincin-2
O75534,CSDE1,CSDE1_HUMAN,Cold shock domain-containing protein E1
O75179,ANKRD17,ANR17_HUMAN,Ankyrin repeat domain-containing protein 17
O94985,CLSTN1,CSTN1_HUMAN,Calsyntenin-1
P0DMR3,ATXN8OS,AT8OS_HUMAN,Putative protein ATXN8OS
K7EIQ3,ZNF561-AS1,CS082_HUMAN,Uncharacterized protein ZNF561-AS1
Q0VDD7,C19orf57,CS057_HUMAN,Uncharacterized protein C19orf57
Q6PI25,CNIH2,CNIH2_HUMAN,Protein cornichon homolog 2
Q96NE9,FRMD6,FRMD6_HUMAN,FERM domain-containing protein 6
Q9H8W3,FAM204A,F204A_HUMAN,Protein FAM204A
A5D6W6,FITM1,FITM1_HUMAN,Fat storage-inducing transmembrane protein 1
Q16854,DGUOK,DGUOK_HUMAN,"Deoxyguanosine kinase, mitochondrial"
Q13620,CUL4B,CUL4B_HUMAN,Cullin-4B
Q9P1J3,DHRS4-AS1,DHAS1_HUMAN,Putative uncharacterized protein DHRS4-AS1
Q8TE96,DQX1,DQX1_HUMAN,ATP-dependent RNA helicase DQX1
P17538,CTRB1,CTRB1_HUMAN,Chymotrypsinogen B
Q9UJM3,ERRFI1,ERRFI_HUMAN,ERBB receptor feedback inhibitor 1
Q08431,MFGE8,MFGM_HUMAN,Lactadherin
Q14527,HLTF,HLTF_HUMAN,Helicase-like transcription factor
Q9NWR8,MCUB,MCUB_HUMAN,"Calcium uniporter regulatory subunit MCUb, mitochondrial"
P18054,ALOX12,LOX12_HUMAN,"Arachidonate 12-lipoxygenase, 12S-type"
Q8NCD3,HJURP,HJURP_HUMAN,Holliday junction recognition protein
P01893,HLA-H,HLAH_HUMAN,"Putative HLA class I histocompatibility antigen, alpha chain H"
Q07954,LRP1,LRP1_HUMAN,Prolow-density lipoprotein receptor-related protein 1
P48059,LIMS1,LIMS1_HUMAN,LIM and senescent cell antigen-like-containing domain protein 1
Q8IVV2,LOXHD1,LOXH1_HUMAN,Lipoxygenase homology domain-containing protein 1
Q9NPJ6,MED4,MED4_HUMAN,Mediator of RNA polymerase II transcription subunit 4
Q8IUZ0,LRRC49,LRC49_HUMAN,Leucine-rich repeat-containing protein 49
P13646,KRT13,K1C13_HUMAN,"Keratin, type I cytoskeletal 13"
O95372,LYPLA2,LYPA2_HUMAN,Acyl-protein thioesterase 2
Q96T52,IMMP2L,IMP2L_HUMAN,Mitochondrial inner membrane protease subunit 2
Q9NV31,IMP3,IMP3_HUMAN,U3 small nucleolar ribonucleoprotein protein IMP3
Q6MZP7,LIN54,LIN54_HUMAN,Protein lin-54 homolog
Q53G44,IFI44L,IF44L_HUMAN,Interferon-induced protein 44-like
Q9BTT6,LRRC1,LRRC1_HUMAN,Leucine-rich repeat-containing protein 1
Q86Y78,LYPD6,LYPD6_HUMAN,Ly6/PLAUR domain-containing protein 6
Q9BYS8,LRRC2,LRRC2_HUMAN,Leucine-rich repeat-containing protein 2
O95970,LGI1,LGI1_HUMAN,Leucine-rich glioma-inactivated protein 1
P16402,HIST1H1D,H13_HUMAN,Histone H1.3
Q14240,EIF4A2,IF4A2_HUMAN,Eukaryotic initiation factor 4A-II
Q96AG4,LRRC59,LRC59_HUMAN,Leucine-rich repeat-containing protein 59
P56537,EIF6,IF6_HUMAN,Eukaryotic translation initiation factor 6
O14910,LIN7A,LIN7A_HUMAN,Protein lin-7 homolog A
P0C5Y9,H2AFB1,H2AB1_HUMAN,Histone H2A-Bbd type 1
P0C5Z0,H2AFB2,H2AB2_HUMAN,Histone H2A-Bbd type 2/3
Q8N145,LGI3,LGI3_HUMAN,Leucine-rich repeat LGI family member 3
Q16772,GSTA3,GSTA3_HUMAN,Glutathione S-transferase A3
Q96L96,ALPK3,ALPK3_HUMAN,Alpha-protein kinase 3
Q8NA47,CCDC63,CCD63_HUMAN,Coiled-coil domain-containing protein 63
P15088,CPA3,CBPA3_HUMAN,Mast cell carboxypeptidase A
Q8WUJ3,CEMIP,CEMIP_HUMAN,Cell migration-inducing and hyaluronan-binding protein
Q32M84,BTBD16,BTBDG_HUMAN,BTB/POZ domain-containing protein 16
Q9BWL3,C1orf43,CA043_HUMAN,Uncharacterized protein C1orf43
A0ZSE6,TMEM30CP,CC50C_HUMAN,Cell cycle control protein 50C
Q96LR7,C2orf50,CB050_HUMAN,Uncharacterized protein C2orf50
Q08AH1,ACSM1,ACSM1_HUMAN,"Acyl-coenzyme A synthetase ACSM1, mitochondrial"
Q96EY9,ADAT3,ADAT3_HUMAN,Probable inactive tRNA-specific adenosine deaminase-like protein 3
P31947,SFN,1433S_HUMAN,14-3-3 protein sigma
P63104,YWHAZ,1433Z_HUMAN,14-3-3 protein zeta/delta
Q96HD1,CRELD1,CREL1_HUMAN,Cysteine-rich with EGF-like domain protein 1
Q9HA72,CALHM2,CAHM2_HUMAN,Calcium homeostasis modulator protein 2
P49662,CASP4,CASP4_HUMAN,Caspase-4
Q5T2L2,AKR1C8P,AKCL1_HUMAN,Putative aldo-keto reductase family 1 member C8
Q8WTW3,COG1,COG1_HUMAN,Conserved oligomeric Golgi complex subunit 1
Q96J86,CYYR1,CYYR1_HUMAN,Cysteine and tyrosine-rich protein 1
A8MUP6,GSG1L2,GS1L2_HUMAN,Germ cell-specific gene 1-like protein 2
Q96KN9,GJD4,CXD4_HUMAN,Gap junction delta-4 protein
Q9H2H0,CXXC4,CXXC4_HUMAN,CXXC-type zinc finger protein 4
Q16478,GRIK5,GRIK5_HUMAN,"Glutamate receptor ionotropic, kainate 5"
Q5VZ89,DENND4C,DEN4C_HUMAN,DENN domain-containing protein 4C
Q8IWF6,DENND6A,DEN6A_HUMAN,Protein DENND6A
Q14687,GSE1,GSE1_HUMAN,Genetic suppressor element 1
Q11128,FUT5,FUT5_HUMAN,"Alpha-(1,3)-fucosyltransferase 5"
Q9Y222,DMTF1,DMTF1_HUMAN,Cyclin-D-binding Myb-like transcription factor 1
Q7Z4P5,GDF7,GDF7_HUMAN,Growth/differentiation factor 7
P17707,AMD1,DCAM_HUMAN,S-adenosylmethionine decarboxylase proenzyme
Q14576,ELAVL3,ELAV3_HUMAN,ELAV-like protein 3
Q9BSJ2,TUBGCP2,GCP2_HUMAN,Gamma-tubulin complex component 2
Q96HE7,ERO1A,ERO1A_HUMAN,ERO1-like protein alpha
Q6P9B6,MEAK7,MEAK7_HUMAN,MTOR-associated protein MEAK7
Q9H3P7,ACBD3,GCP60_HUMAN,Golgi resident protein GCP60
Q9C099,LRRCC1,LRCC1_HUMAN,Leucine-rich repeat and coiled-coil domain-containing protein 1
A6BM72,MEGF11,MEG11_HUMAN,Multiple epidermal growth factor-like domains protein 11
Q86VS8,HOOK3,HOOK3_HUMAN,Protein Hook homolog 3
P09238,MMP10,MMP10_HUMAN,Stromelysin-2
P23368,ME2,MAOM_HUMAN,"NAD-dependent malic enzyme, mitochondrial"
Q6P1Q0,LETMD1,LTMD1_HUMAN,LETM1 domain-containing protein 1
O75095,MEGF6,MEGF6_HUMAN,Multiple epidermal growth factor-like domains protein 6
Q9BRT3,MIEN1,MIEN1_HUMAN,Migration and invasion enhancer 1
Q8IWC1,MAP7D3,MA7D3_HUMAN,MAP7 domain-containing protein 3
O60812,HNRNPCL1,HNRC1_HUMAN,Heterogeneous nuclear ribonucleoprotein C-like 1
O00453,LST1,LST1_HUMAN,Leukocyte-specific transcript 1 protein
O15232,MATN3,MATN3_HUMAN,Matrilin-3
Q9P2G4,MAP10,MAP10_HUMAN,Microtubule-associated protein 10
P08581,MET,MET_HUMAN,Hepatocyte growth factor receptor
A6NJ08,MBD3L5,MB3L5_HUMAN,Putative methyl-CpG-binding domain protein 3-like 5
Q538Z0,LUZP6,LUZP6_HUMAN,Leucine zipper protein 6
P03956,MMP1,MMP1_HUMAN,Interstitial collagenase
Q5VZF2,MBNL2,MBNL2_HUMAN,Muscleblind-like protein 2
Q9BQD1,PMCHL2,MCHL2_HUMAN,Putative pro-MCH-like protein 2
Q96GA3,LTV1,LTV1_HUMAN,Protein LTV1 homolog
Q8N4S9,MARVELD2,MALD2_HUMAN,MARVEL domain-containing protein 2
O75074,LRP3,LRP3_HUMAN,Low-density lipoprotein receptor-related protein 3
A0A1B0GTS1,HSFX4,HSFX4_HUMAN,"Heat shock transcription factor, X-linked member 4"
O75506,HSBP1,HSBP1_HUMAN,Heat shock factor-binding protein 1
Q6PXP3,SLC2A7,GTR7_HUMAN,"Solute carrier family 2, facilitated glucose transporter member 7"
Q2VIR3,EIF2S3B,IF2GL_HUMAN,Eukaryotic translation initiation factor 2 subunit 3B
Q99698,LYST,LYST_HUMAN,Lysosomal-trafficking regulator
P01229,LHB,LSHB_HUMAN,Lutropin subunit beta
P00739,HPR,HPTR_HUMAN,Haptoglobin-related protein
P04196,HRG,HRG_HUMAN,Histidine-rich glycoprotein
Q8WYB5,KAT6B,KAT6B_HUMAN,Histone acetyltransferase KAT6B
Q9NYZ3,GTSE1,GTSE1_HUMAN,G2 and S phase-expressed protein 1
P51884,LUM,LUM_HUMAN,Lumican
Q6UWN0,LYPD4,LYPD4_HUMAN,Ly6/PLAUR domain-containing protein 4
Q96CX6,LRRC58,LRC58_HUMAN,Leucine-rich repeat-containing protein 58
B7U540,KCNJ18,KCJ18_HUMAN,Inward rectifier potassium channel 18
P48637,GSS,GSHB_HUMAN,Glutathione synthetase
Q9P0R6,GSKIP,GSKIP_HUMAN,GSK3B-interacting protein
Q16665,HIF1A,HIF1A_HUMAN,Hypoxia-inducible factor 1-alpha
Q6UX82,LYPD8,LYPD8_HUMAN,Ly6/PLAUR domain-containing protein 8
Q96G21,IMP4,IMP4_HUMAN,U3 small nucleolar ribonucleoprotein protein IMP4
Q8IWD5,MFSD6L,MFS6L_HUMAN,Major facilitator superfamily domain-containing protein 6-like
Q8N112,LSMEM2,LSME2_HUMAN,Leucine-rich single-pass membrane protein 2
Q8N8F7,LSMEM1,LSME1_HUMAN,Leucine-rich single-pass membrane protein 1
Q9HBW1,LRRC4,LRRC4_HUMAN,Leucine-rich repeat-containing protein 4
P21439,ABCB4,MDR3_HUMAN,Phosphatidylcholine translocator ABCB4
Q96NW7,LRRC7,LRRC7_HUMAN,Leucine-rich repeat-containing protein 7
Q8N135,LGI4,LGI4_HUMAN,Leucine-rich repeat LGI family member 4
Q9Y5N1,HRH3,HRH3_HUMAN,Histamine H3 receptor
A8K0S8,MEIS3P2,ME3L2_HUMAN,Putative homeobox protein Meis3-like 2
O15217,GSTA4,GSTA4_HUMAN,Glutathione S-transferase A4
Q14244,MAP7,MAP7_HUMAN,Ensconsin
O00178,GTPBP1,GTPB1_HUMAN,GTP-binding protein 1
Q7RTV2,GSTA5,GSTA5_HUMAN,Glutathione S-transferase A5
Q12791,KCNMA1,KCMA1_HUMAN,Calcium-activated potassium channel subunit alpha-1
Q96RQ3,MCCC1,MCCA_HUMAN,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial"
Q7L5D6,GET4,GET4_HUMAN,Golgi to ER traffic protein 4 homolog
P54753,EPHB3,EPHB3_HUMAN,Ephrin type-B receptor 3
Q9NQ30,ESM1,ESM1_HUMAN,Endothelial cell-specific molecule 1
Q9NWZ8,GEMIN8,GEMI8_HUMAN,Gem-associated protein 8
Q8TED1,GPX8,GPX8_HUMAN,Probable glutathione peroxidase 8
Q06547,GABPB1,GABP1_HUMAN,GA-binding protein subunit beta-1
Q8NBF1,GLIS1,GLIS1_HUMAN,Zinc finger protein GLIS1
Q96RT8,TUBGCP5,GCP5_HUMAN,Gamma-tubulin complex component 5
Q9NPA0,EMC7,EMC7_HUMAN,ER membrane protein complex subunit 7
P49789,FHIT,FHIT_HUMAN,Bis(5'-adenosyl)-triphosphatase
Q6ZTU2,EP400P1,E400N_HUMAN,Putative EP400-like protein
Q9NRF9,POLE3,DPOE3_HUMAN,DNA polymerase epsilon subunit 3
Q9BXM9,FSD1L,FSD1L_HUMAN,FSD1-like protein
Q03591,CFHR1,FHR1_HUMAN,Complement factor H-related protein 1
Q14236,DIAPH2-AS1,EPAG_HUMAN,Early lymphoid activation gene protein
Q9NNZ3,DNAJC4,DNJC4_HUMAN,DnaJ homolog subfamily C member 4
Q66K89,E4F1,E4F1_HUMAN,Transcription factor E4F1
P10767,FGF6,FGF6_HUMAN,Fibroblast growth factor 6
Q8TCX1,DYNC2LI1,DC2L1_HUMAN,Cytoplasmic dynein 2 light intermediate chain 1
Q86XP1,DGKH,DGKH_HUMAN,Diacylglycerol kinase eta
Q3V6T2,CCDC88A,GRDN_HUMAN,Girdin
P04062,GBA,GLCM_HUMAN,Lysosomal acid glucosylceramidase
Q8TB36,GDAP1,GDAP1_HUMAN,Ganglioside-induced differentiation-associated protein 1
P62508,ESRRG,ERR3_HUMAN,Estrogen-related receptor gamma
Q96BJ8,ELMO3,ELMO3_HUMAN,Engulfment and cell motility protein 3
Q9Y485,DMXL1,DMXL1_HUMAN,DmX-like protein 1
Q9H9B1,EHMT1,EHMT1_HUMAN,Histone-lysine N-methyltransferase EHMT1
O75448,MED24,MED24_HUMAN,Mediator of RNA polymerase II transcription subunit 24
Q9ULC4,MCTS1,MCTS1_HUMAN,Malignant T-cell-amplified sequence 1
P56270,MAZ,MAZ_HUMAN,Myc-associated zinc finger protein
Q96DS6,MS4A6E,M4A6E_HUMAN,Membrane-spanning 4-domains subfamily A member 6E
P01721,IGLV6-57,LV657_HUMAN,Immunoglobulin lambda variable 6-57
P45984,MAPK9,MK09_HUMAN,Mitogen-activated protein kinase 9
Q8WZ33,MAFIP,MAFIP_HUMAN,MaFF-interacting protein
Q93074,MED12,MED12_HUMAN,Mediator of RNA polymerase II transcription subunit 12
Q6NV74,KIAA1211L,K121L_HUMAN,Uncharacterized protein KIAA1211-like
Q96MC6,MFSD14A,MF14A_HUMAN,Hippocampus abundant transcript 1 protein
Q8IXI2,RHOT1,MIRO1_HUMAN,Mitochondrial Rho GTPase 1
A2RUH7,MYBPHL,MBPHL_HUMAN,Myosin-binding protein H-like
Q86VZ4,LRP11,LRP11_HUMAN,Low-density lipoprotein receptor-related protein 11
Q96RN5,MED15,MED15_HUMAN,Mediator of RNA polymerase II transcription subunit 15
Q9NX62,IMPAD1,IMPA3_HUMAN,Inositol monophosphatase 3
Q8WUT4,LRRN4,LRRN4_HUMAN,Leucine-rich repeat neuronal protein 4
Q643R3,LPCAT4,LPCT4_HUMAN,Lysophospholipid acyltransferase LPCAT4
Q8N257,HIST3H2BB,H2B3B_HUMAN,Histone H2B type 3-B
Q9UFC0,LRWD1,LRWD1_HUMAN,Leucine-rich repeat and WD repeat-containing protein 1
Q9NRX6,TMEM167B,KISHB_HUMAN,Protein kish-B
Q71DI3,HIST2H3A,H32_HUMAN,Histone H3.2
O14756,HSD17B6,H17B6_HUMAN,17-beta-hydroxysteroid dehydrogenase type 6
Q8N456,LRRC18,LRC18_HUMAN,Leucine-rich repeat-containing protein 18
Q10469,MGAT2,MGAT2_HUMAN,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
Q96PC5,MIA2,MIA2_HUMAN,Melanoma inhibitory activity protein 2
Q14722,KCNAB1,KCAB1_HUMAN,Voltage-gated potassium channel subunit beta-1
Q4VC39,HIGD2B,HIG2B_HUMAN,Putative HIG1 domain family member 2B
Q6EBC2,IL31,IL31_HUMAN,Interleukin-31
Q96ST2,IWS1,IWS1_HUMAN,Protein IWS1 homolog
P01762,IGHV3-11,HV311_HUMAN,Immunoglobulin heavy variable 3-11
P05455,SSB,LA_HUMAN,Lupus La protein
Q7Z4H7,HAUS6,HAUS6_HUMAN,HAUS augmin-like complex subunit 6
P01814,IGHV2-70,HV270_HUMAN,Immunoglobulin heavy variable 2-70
Q9Y6K8,AK5,KAD5_HUMAN,Adenylate kinase isoenzyme 5
O14990,PPP1R2C,IPP2C_HUMAN,Protein phosphatase inhibitor 2 family member C
Q9P035,HACD3,HACD3_HUMAN,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3
Q9NZH7,IL36B,IL36B_HUMAN,Interleukin-36 beta
P47929,LGALS7,LEG7_HUMAN,Galectin-7
Q9UEF7,KL,KLOT_HUMAN,Klotho
P09211,GSTP1,GSTP1_HUMAN,Glutathione S-transferase P
Q96S16,JMJD8,JMJD8_HUMAN,JmjC domain-containing protein 8
Q13554,CAMK2B,KCC2B_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit beta
Q9BU23,LMF2,LMF2_HUMAN,Lipase maturation factor 2
Q53QV2,LBH,LBH_HUMAN,Protein LBH
Q96F46,IL17RA,I17RA_HUMAN,Interleukin-17 receptor A
P14735,IDE,IDE_HUMAN,Insulin-degrading enzyme
Q5TCM9,LCE5A,LCE5A_HUMAN,Late cornified envelope protein 5A
Q8WVC0,LEO1,LEO1_HUMAN,RNA polymerase-associated protein LEO1
A9QM74,KPNA7,IMA8_HUMAN,Importin subunit alpha-8
Q9Y383,LUC7L2,LC7L2_HUMAN,Putative RNA-binding protein Luc7-like 2
P31271,HOXA13,HXA13_HUMAN,Homeobox protein Hox-A13
Q16558,KCNMB1,KCMB1_HUMAN,Calcium-activated potassium channel subunit beta-1
Q2TAA2,IAH1,IAH1_HUMAN,Isoamyl acetate-hydrolyzing esterase 1 homolog
Q9BZV3,IMPG2,IMPG2_HUMAN,Interphotoreceptor matrix proteoglycan 2
P55073,DIO3,IOD3_HUMAN,Thyroxine 5-deiodinase
P0DPF5,C2orf27A,CB27A_HUMAN,Uncharacterized protein C2orf27A
O15143,ARPC1B,ARC1B_HUMAN,Actin-related protein 2/3 complex subunit 1B
Q8IVM0,CCDC50,CCD50_HUMAN,Coiled-coil domain-containing protein 50
Q9UHQ4,BCAP29,BAP29_HUMAN,B-cell receptor-associated protein 29
Q9UKB5,AJAP1,AJAP1_HUMAN,Adherens junction-associated protein 1
Q13098,GPS1,CSN1_HUMAN,COP9 signalosome complex subunit 1
P32246,CCR1,CCR1_HUMAN,C-C chemokine receptor type 1
Q8IWP9,CCDC28A,CC28A_HUMAN,Coiled-coil domain-containing protein 28A
Q9NWV8,BABAM1,BABA1_HUMAN,BRISC and BRCA1-A complex member 1
Q9NZM4,BICRA,BICRA_HUMAN,BRD4-interacting chromatin-remodeling complex-associated protein
P26436,ACRV1,ASPX_HUMAN,Acrosomal protein SP-10
Q8TCT0,CERK,CERK1_HUMAN,Ceramide kinase
Q5VT06,CEP350,CE350_HUMAN,Centrosome-associated protein 350
Q9NPB3,CABP2,CABP2_HUMAN,Calcium-binding protein 2
P22681,CBL,CBL_HUMAN,E3 ubiquitin-protein ligase CBL
Q567U6,CCDC93,CCD93_HUMAN,Coiled-coil domain-containing protein 93
Q96MI9,AGBL1,CBPC4_HUMAN,Cytosolic carboxypeptidase 4
Q569K6,CCDC157,CC157_HUMAN,Coiled-coil domain-containing protein 157
Q8NFL0,B3GNT7,B3GN7_HUMAN,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
Q8WWL7,CCNB3,CCNB3_HUMAN,G2/mitotic-specific cyclin-B3
Q8N3I7,BBS5,BBS5_HUMAN,Bardet-Biedl syndrome 5 protein
Q9Y2C3,B3GALT5,B3GT5_HUMAN,"Beta-1,3-galactosyltransferase 5"
Q3ZCQ2,ANXA2R,AX2R_HUMAN,Annexin-2 receptor
Q9H013,ADAM19,ADA19_HUMAN,Disintegrin and metalloproteinase domain-containing protein 19
Q495B1,ANKDD1A,AKD1A_HUMAN,Ankyrin repeat and death domain-containing protein 1A
Q5TAT6,COL13A1,CODA1_HUMAN,Collagen alpha-1(XIII) chain
P55056,APOC4,APOC4_HUMAN,Apolipoprotein C-IV
P31944,CASP14,CASPE_HUMAN,Caspase-14
Q969Q4,ARL11,ARL11_HUMAN,ADP-ribosylation factor-like protein 11
O75077,ADAM23,ADA23_HUMAN,Disintegrin and metalloproteinase domain-containing protein 23
P14324,FDPS,FPPS_HUMAN,Farnesyl pyrophosphate synthase
Q9HBA9,FOLH1B,FOH1B_HUMAN,Putative N-acetylated-alpha-linked acidic dipeptidase
P48507,GCLM,GSH0_HUMAN,Glutamate--cysteine ligase regulatory subunit
A0A096LNP1,DEFB131B,D131B_HUMAN,Beta-defensin 131B
Q969Z0,TBRG4,FAKD4_HUMAN,FAST kinase domain-containing protein 4
P55317,FOXA1,FOXA1_HUMAN,Hepatocyte nuclear factor 3-alpha
Q5XKR9,FAM104B,F104B_HUMAN,Protein FAM104B
Q5T8I3,FAM102B,F102B_HUMAN,Protein FAM102B
Q8WUS8,SDR42E1,D42E1_HUMAN,Short-chain dehydrogenase/reductase family 42E member 1
P51161,FABP6,FABP6_HUMAN,Gastrotropin
Q96P69,GPR78,GPR78_HUMAN,G-protein coupled receptor 78
Q8NBQ5,HSD17B11,DHB11_HUMAN,Estradiol 17-beta-dehydrogenase 11
Q12950,FOXD4,FOXD4_HUMAN,Forkhead box protein D4
Q96PD7,DGAT2,DGAT2_HUMAN,Diacylglycerol O-acyltransferase 2
Q96P56,CATSPER2,CTSR2_HUMAN,Cation channel sperm-associated protein 2
P10071,GLI3,GLI3_HUMAN,Transcriptional activator GLI3
O94915,FRYL,FRYL_HUMAN,Protein furry homolog-like
Q96PS6,GAFA1,GAFA1_HUMAN,Putative uncharacterized protein GAFA-1
P12074,COX6A1,CX6A1_HUMAN,"Cytochrome c oxidase subunit 6A1, mitochondrial"
Q8NCL4,GALNT6,GALT6_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 6
Q7RTX7,CATSPER4,CTSR4_HUMAN,Cation channel sperm-associated protein 4
Q8WXX0,DNAH7,DYH7_HUMAN,"Dynein heavy chain 7, axonemal"
O14610,GNGT2,GBGT2_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2
Q9NYC9,DNAH9,DYH9_HUMAN,"Dynein heavy chain 9, axonemal"
Q13491,GPM6B,GPM6B_HUMAN,Neuronal membrane glycoprotein M6-b
Q6NT46,GAGE2A,GAG2A_HUMAN,G antigen 2A
Q9NPA8,ENY2,ENY2_HUMAN,Transcription and mRNA export factor ENY2
Q05193,DNM1,DYN1_HUMAN,Dynamin-1
Q96C10,DHX58,DHX58_HUMAN,Probable ATP-dependent RNA helicase DHX58
P21802,FGFR2,FGFR2_HUMAN,Fibroblast growth factor receptor 2
Q02153,GUCY1B1,GCYB1_HUMAN,Guanylate cyclase soluble subunit beta-1
Q7L9B9,EEPD1,EEPD1_HUMAN,Endonuclease/exonuclease/phosphatase family domain-containing protein 1
Q9H4M9,EHD1,EHD1_HUMAN,EH domain-containing protein 1
P07902,GALT,GALT_HUMAN,Galactose-1-phosphate uridylyltransferase
Q8TDR0,TRAF3IP1,MIPT3_HUMAN,TRAF3-interacting protein 1
Q9H306,MMP27,MMP27_HUMAN,Matrix metalloproteinase-27
Q9ULL0,KIAA1210,K1210_HUMAN,Acrosomal protein KIAA1210
Q9H400,LIME1,LIME1_HUMAN,Lck-interacting transmembrane adapter 1
P42702,LIFR,LIFR_HUMAN,Leukemia inhibitory factor receptor
Q96PB8,LRRC3B,LRC3B_HUMAN,Leucine-rich repeat-containing protein 3B
O00587,MFNG,MFNG_HUMAN,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe"
P07948,LYN,LYN_HUMAN,Tyrosine-protein kinase Lyn
Q02539,HIST1H1A,H11_HUMAN,Histone H1.1
Q96CN5,LRRC45,LRC45_HUMAN,Leucine-rich repeat-containing protein 45
Q6ZQX7,LIAT1,LIAT1_HUMAN,Protein LIAT1
P49137,MAPKAPK2,MAPK2_HUMAN,MAP kinase-activated protein kinase 2
O60942,RNGTT,MCE1_HUMAN,mRNA-capping enzyme
Q8IWI9,MGA,MGAP_HUMAN,MAX gene-associated protein
P31269,HOXA9,HXA9_HUMAN,Homeobox protein Hox-A9
Q14623,IHH,IHH_HUMAN,Indian hedgehog protein
Q5T5A8,LCE3C,LCE3C_HUMAN,Late cornified envelope protein 3C
Q8NC56,LEMD2,LEMD2_HUMAN,LEM domain-containing protein 2
O95965,ITGBL1,ITGBL_HUMAN,Integrin beta-like protein 1
Q9BYE3,LCE3D,LCE3D_HUMAN,Late cornified envelope protein 3D
Q49B96,COX19,COX19_HUMAN,Cytochrome c oxidase assembly protein COX19
A6NIR3,AGAP5,AGAP5_HUMAN,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5"
Q8TDH9,BLOC1S5,BL1S5_HUMAN,Biogenesis of lysosome-related organelles complex 1 subunit 5
Q8WV48,CCDC107,CC107_HUMAN,Coiled-coil domain-containing protein 107
Q9BWC9,CCDC106,CC106_HUMAN,Coiled-coil domain-containing protein 106
Q4VC31,CCDC58,CCD58_HUMAN,Coiled-coil domain-containing protein 58
P11912,CD79A,CD79A_HUMAN,B-cell antigen receptor complex-associated protein alpha chain
P35070,BTC,BTC_HUMAN,Probetacellulin
Q8N8R5,C2orf69,CB069_HUMAN,UPF0565 protein C2orf69
Q5Y7A7,HLA-DRB1,2B1D_HUMAN,"HLA class II histocompatibility antigen, DRB1-13 beta chain"
Q5T9S5,CCDC18,CCD18_HUMAN,Coiled-coil domain-containing protein 18
Q49A88,CCDC14,CCD14_HUMAN,Coiled-coil domain-containing protein 14
Q96LY2,CCDC74B,CC74B_HUMAN,Coiled-coil domain-containing protein 74B
Q08AH3,ACSM2A,ACS2A_HUMAN,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial"
Q5TH69,ARFGEF3,BIG3_HUMAN,Brefeldin A-inhibited guanine nucleotide-exchange protein 3
Q5XLA6,CARD17,CAR17_HUMAN,Caspase recruitment domain-containing protein 17
Q16611,BAK1,BAK_HUMAN,Bcl-2 homologous antagonist/killer
Q66K79,CPZ,CBPZ_HUMAN,Carboxypeptidase Z
Q96MH7,C5orf34,CE034_HUMAN,Uncharacterized protein C5orf34
Q9NQR7,CCDC177,CC177_HUMAN,Coiled-coil domain-containing protein 177
P30281,CCND3,CCND3_HUMAN,G1/S-specific cyclin-D3
P46597,ASMT,ASMT_HUMAN,Acetylserotonin O-methyltransferase
O14862,AIM2,AIM2_HUMAN,Interferon-inducible protein AIM2
P35611,ADD1,ADDA_HUMAN,Alpha-adducin
O14520,AQP7,AQP7_HUMAN,Aquaporin-7
Q9P0K1,ADAM22,ADA22_HUMAN,Disintegrin and metalloproteinase domain-containing protein 22
Q6UX65,DRAM2,DRAM2_HUMAN,DNA damage-regulated autophagy modulator protein 2
Q8NFI3,ENGASE,ENASE_HUMAN,Cytosolic endo-beta-N-acetylglucosaminidase
Q9H7Y0,DIPK2B,DIK2B_HUMAN,Divergent protein kinase domain 2B
Q5RKV6,EXOSC6,EXOS6_HUMAN,Exosome complex component MTR3
Q16610,ECM1,ECM1_HUMAN,Extracellular matrix protein 1
Q99684,GFI1,GFI1_HUMAN,Zinc finger protein Gfi-1
Q9NZU1,FLRT1,FLRT1_HUMAN,Leucine-rich repeat transmembrane protein FLRT1
O60861,GAS7,GAS7_HUMAN,Growth arrest-specific protein 7
Q8IWF2,FOXRED2,FXRD2_HUMAN,FAD-dependent oxidoreductase domain-containing protein 2
Q9UFH2,DNAH17,DYH17_HUMAN,"Dynein heavy chain 17, axonemal"
Q0VDD8,DNAH14,DYH14_HUMAN,"Dynein heavy chain 14, axonemal"
Q8N9I9,DTX3,DTX3_HUMAN,Probable E3 ubiquitin-protein ligase DTX3
Q92847,GHSR,GHSR_HUMAN,Growth hormone secretagogue receptor type 1
P61328,FGF12,FGF12_HUMAN,Fibroblast growth factor 12
Q13065,GAGE1,GAGE1_HUMAN,G antigen 1
O76093,FGF18,FGF18_HUMAN,Fibroblast growth factor 18
